	P1	P2
0	4EBP1	AKT1
1	4EBP1	CCND1
3	4EBP1	MAPK14
5	4EBP1	TFDP1
6	14-3-3-zeta	AKT1
7	14-3-3-zeta	BAD
10	14-3-3-zeta	CSNK1A1
11	14-3-3-zeta	CTNNB1
13	14-3-3-zeta	KRT18
16	14-3-3-zeta	PRKCA
18	14-3-3-zeta	RAN
20	ABIN2	FLNA
22	ABIN2	LYN
23	ABIN2	NFKB1
24	ABIN2	NFKB2
26	ABIN2	RELA
27	ABIN2	RIPK1
28	ABIN2	STK11
29	ABIN2	TAB2
31	ABIN2	TRAF2
32	ABL1	APP
34	ABL1	CBL
35	ABL1	CCNA2
36	ABL1	CDC42
37	ABL1	CRK
38	ABL1	CRKL
39	ABL1	CTNNB1
41	ABL1	FOS
42	ABL1	FYN
43	ABL1	GRB2
47	ABL1	MYC
51	ABL1	SHC1
52	ABL1	SRC
54	ABL1	TP53
56	ABL1	YAP1
100	add1	ABL1
101	add1	AKT1
103	add1	CSK
104	add1	CSNK1E
106	add1	HIPK2
107	add1	JAK1
110	add1	LYN
112	add1	PRKCA
115	add1	STK11
130	AIP4	ARRB2
133	AIP4	HGS
135	AIP4	JUNB
137	AIP4	LYN
138	AIP4	MET
140	AIP4	NUMB
142	AIP4	SMAD3
145	AKAP95	CASP3
146	AKAP95	CCND1
148	AKAP95	MYC
150	AKT1	CCNA2
152	AKT1	FYN
155	AKT1	PRKCA
156	AKT1	PRKCI
158	AKT1	STAT3
160	AKT1	STAT5B
161	AKT1	PRKCI
162	AML1	CTCF
163	AML1	HAT1
164	AML1	NCOR1
165	AML1	PPP2CA
166	AML1	RUVBL1
173	ANAPC2	ANAPC4
174	ANAPC2	ANAPC5
176	ANAPC2	CCNB1
177	ANAPC2	CDC16
180	ANAPC2	CDK2
181	ANAPC2	FZR1
182	ANAPC2	PSMB5
183	ANAPC2	PSMC2
184	ANAPC2	PSMC3
185	ANAPC2	PSMD1
187	ANAPC2	PSMD13
188	ANAPC2	UBE2E1
191	ANAPC4	ANAPC2
192	ANAPC4	ANAPC5
194	ANAPC4	CCNB1
195	ANAPC4	CDC16
198	ANAPC4	CDK2
199	ANAPC4	FZR1
200	ANAPC4	PSMB5
201	ANAPC4	PSMC2
202	ANAPC4	PSMC3
203	ANAPC4	PSMD1
205	ANAPC4	PSMD13
206	ANAPC4	UBE2E1
207	ANAPC5	SMAD1
209	ANAPC5	SMAD3
210	ANAPC5	TGFB1
237	AO7	RELA
238	AO7	RNF4
239	AO7	UBE2D1
244	APH1A	APP
246	APH1A	CTNNB1
250	APH1A	NOTCH2
251	APH1A	NOTCH3
257	APH2	APH1A
259	APH2	APP
261	APH2	CTNNB1
265	APH2	NOTCH2
266	APH2	NOTCH3
271	APP	CRKL
272	APP	FYN
278	APPL2	HDAC1
279	APPL2	HDAC2
284	APPL2	RBBP7
361	ARA54	FHL2
362	ARA54	NCOA3
363	ARA54	NCOR1
365	ARA54	PIAS1
366	ARA54	RAN
369	ARA54	UBE2D1
370	ARA54	UBE2E1
371	ARA54	UBE2L3
373	ARA55	CRK
374	ARA55	CRKL
375	ARA55	CSK
376	ARA55	FOS
377	ARA55	FYN
378	ARA55	GIT1
380	ARA55	NCOA3
381	ARA55	PAK1
382	ARA55	PTK2
383	ARA55	PTPN12
384	ARA55	PXN
385	ARA55	RAN
386	ARA55	RHOA
387	ARA55	SMAD3
390	ARA55	SRC
392	ARA55	TGFBR2
396	ARA70	FHL2
397	ARA70	HRAS
399	ARA70	NCOA3
404	ARA70	RAN
413	ARAF1	HRAS
416	ARAF1	PRKCA
417	ARAF1	PRKCB
420	ARF4	PLD2
423	ARNIP	ARRB2
424	ARNIP	CAV1
425	ARNIP	GIT1
426	ARNIP	PRKCA
427	ARNIP	PRKCB
432	ARRB2	DVL3
433	ARRB2	FYN
435	ARRB2	HGS
439	ASE1	CCNA2
440	ASE1	CCNB1
441	ASE1	CDC16
443	ASE1	NCOR1
487	BAF53A	HAT1
488	BAF53A	MYC
489	BAF53A	RUVBL1
490	BAF53A	SMARCA4
491	BAF53A	SMARCB1
492	BAF53A	SMARCC1
493	BAF53A	SMARCC2
494	BAF53A	SMARCE1
496	BAG1	HSPA8
558	BP75	CCNH
559	BP75	PCAF
561	BPAG1	CTNNB1
562	BPAG1	FOS
563	BPAG1	HDAC6
663	BTRC2	APH1A
665	BTRC2	BTRC
666	BTRC2	CTNNB1
667	BTRC2	CUL1
668	BTRC2	FBXW7
672	BTRC2	GSK3B
673	BTRC2	RBX1
674	BTRC2	SKP1
675	BTRC2	SKP2
676	BTRC2	UBE2L3
692	CAMK2D	SMAD3
693	CAMK2D	STAT3
695	CAMK2D	STAT5B
701	CASP2	CDK7
702	CASP2	FADD
703	CASP2	FYN
704	CASP2	HDAC1
705	CASP2	HDAC2
706	CASP2	NFKB2
709	CASP2	RIPK1
714	CASP3	CASP7
717	CASP3	CBL
718	CASP3	CBLB
719	CASP3	CD44
722	CASP3	CRK
724	CASP3	CSK
725	CASP3	CTNNB1
728	CASP3	EPS15
730	CASP3	FLNA
731	CASP3	FYN
739	CASP3	NOTCH2
740	CASP3	NOTCH3
742	CASP3	PIK3R2
744	CASP3	PLD2
745	CASP3	PRKCI
749	CASP3	SHC1
752	CASP3	STAT1
753	CASP3	TRAF2
756	CASP7	CASP3
757	CASP7	CSK
788	CAV1	CBL
789	CAV1	CRKL
790	CAV1	CSK
792	CAV1	ERBB2
794	CAV1	GRB10
798	CAV1	LYN
799	CAV1	RHOA
800	CAV1	SRC
801	CAV1	STAT1
803	CAV1	STAT5B
805	CBL	ABL1
806	CBL	APC
810	CBL	CASP3
811	CBL	CAV1
812	CBL	CBLB
815	CBL	CDC25C
816	CBL	CRK
817	CBL	CRKL
819	CBL	CSK
820	CBL	CTNNB1
821	CBL	DAB2
825	CBL	EPOR
826	CBL	ERBB2
828	CBL	FLNA
829	CBL	FYN
832	CBL	GRB10
834	CBL	GRB2
837	CBL	HD
839	CBL	JAK1
842	CBL	KRT18
844	CBL	LYN
845	CBL	MET
847	CBL	NCK2
850	CBL	PIK3R2
854	CBL	PTPN12
856	CBL	SHC1
861	CBL	SRC
862	CBL	STAT1
863	CBL	STAT3
865	CBL	STAT5B
871	CBL	WASL
872	CBLB	ABL1
873	CBLB	APC
877	CBLB	CASP3
878	CBLB	CBL
879	CBLB	CRK
880	CBLB	CRKL
881	CBLB	CSK
882	CBLB	DAB2
886	CBLB	EPOR
887	CBLB	ERBB2
889	CBLB	FLNA
890	CBLB	FYN
891	CBLB	FYN
894	CBLB	GRB10
895	CBLB	GRB2
898	CBLB	HD
900	CBLB	JAK1
904	CBLB	LYN
905	CBLB	MET
908	CBLB	PIK3R2
909	CBLB	PTK2
911	CBLB	PTPN12
912	CBLB	SHC1
915	CBLB	SRC
916	CBLB	STAT1
917	CBLB	STAT3
919	CBLB	STAT5B
924	CBLB	WASL
925	CCNA2	AKT1
926	CCNA2	CCNB1
927	CCNA2	CCNB2
928	CCNA2	CCND1
930	CCNA2	CCNH
932	CCNA2	CDK2
933	CCNA2	CDK4
934	CCNA2	CDK7
936	CCNA2	E2F4
937	CCNA2	HDAC1
938	CCNA2	ID2
939	CCNA2	MCM7
942	CCNA2	SP1
944	CCNB1	CCNA2
945	CCNB1	CCNB2
950	CCNB1	CDC25C
951	CCNB1	CDC42
952	CCNB1	CDK2
953	CCNB1	CDK4
954	CCNB1	CTNNB1
955	CCNB1	FLNA
956	CCNB1	FOXO1A
958	CCNB1	FZR1
959	CCNB1	GIT1
960	CCNB1	HDAC6
961	CCNB1	HES1
962	CCNB1	HSPA8
963	CCNB1	ID2
965	CCNB1	MCM7
966	CCNB1	PKN1
967	CCNB1	PRKCA
969	CCNB1	PSMC2
970	CCNB1	RAC1
972	CCNB1	TP53
973	CCNB1	TRAF2
974	CCNB2	ABL1
976	CCNB2	CCNA2
977	CCNB2	CCNB1
979	CCNB2	CCNH
983	CCNB2	CDC25C
984	CCNB2	CDK2
985	CCNB2	CDK7
986	CCNB2	CDKN1A
987	CCNB2	ETS1
988	CCNB2	FOXO1A
990	CCNB2	FZR1
991	CCNB2	ID3
992	CCNB2	MCM5
993	CCNB2	MCM7
994	CCNB2	PRKCA
996	CCNB2	PSMC2
998	CCNB2	RBL2
999	CCNB2	RPS11
1002	CCND1	CCNA2
1003	CCND1	CDK4
1004	CCND1	CDKN1A
1006	CCND1	DYRK1A
1007	CCND1	HDAC1
1008	CCND1	HDAC2
1010	CCND1	PRKCI
1013	CCND1	SMAD3
1035	CCNH	CCNA2
1036	CCNH	CCNB2
1039	CCNH	CDK2
1040	CCNH	CDK7
1042	CCNH	CTNNB1
1043	CCNH	FZR1
1044	CCNH	ITGB4BP
1045	CCNH	LYN
1046	CCNH	MCM5
1059	CD44	CASP3
1060	CD44	ERBB2
1066	CD44	PRKCI
1069	CD44	SMAD3
1071	CD44	TGFB1
1089	CDC16	CCNA2
1090	CDC16	CCNB2
1094	CDC16	CDK2
1095	CDC16	CDK7
1097	CDC16	CTNNB1
1098	CDC16	FZR1
1099	CDC16	FZR1
1100	CDC16	ITGB4BP
1101	CDC16	LYN
1102	CDC16	MCM5
1103	CDC16	PSMC2
1176	CDC25C	CAMK2D
1177	CDC25C	CCNA2
1178	CDC25C	CCNB1
1179	CDC25C	CCNB2
1182	CDC25C	CDK2
1183	CDC25C	CDKN1A
1184	CDC25C	FLNA
1185	CDC25C	MAPK14
1186	CDC25C	PIN1
1187	CDC25C	PKN1
1188	CDC25C	TP53
1196	CDC37	FZR1
1197	CDC37	HDAC1
1198	CDC37	HDAC2
1199	CDC42	AKT1
1202	CDC42	PAK1
1206	CDC42	PRKCI
1208	CDC42	SRC
1211	CDC42	WASL
1213	CDK2	CCNA2
1214	CDK2	CCNB1
1215	CDK2	CCNB2
1216	CDK2	CCNH
1220	CDK2	CDC25C
1221	CDK2	CDK4
1222	CDK2	CDK7
1223	CDK2	CDKN1A
1225	CDK2	CTNNB1
1228	CDK2	FZR1
1229	CDK2	GIT1
1230	CDK2	HDAC2
1231	CDK2	ID2
1232	CDK2	MCM5
1233	CDK2	MCM7
1234	CDK2	PRKCA
1236	CDK2	PSMC2
1238	CDK2	SMAD1
1240	CDK2	STAT1
1246	CDK4	CCNA2
1247	CDK4	CCNB1
1248	CDK4	CCND1
1249	CDK4	CDK2
1251	CDK4	CDKN1A
1253	CDK4	CTCF
1255	CDK4	MCM5
1256	CDK4	MCM7
1258	CDK4	PRKACA
1261	CDK4	SMAD1
1263	CDK4	SMAD3
1264	CDK4	SP1
1265	CDK4	TGFB1
1272	CDK7	APC
1275	CDK7	CASP2
1276	CDK7	CCNA2
1277	CDK7	CCNB2
1278	CDK7	CCNH
1280	CDK7	CDK2
1283	CDK7	FRAP1
1284	CDK7	FZR1
1285	CDK7	ID2
1286	CDK7	ID3
1287	CDK7	MAPK14
1289	CDK7	TP53
1290	CDKN1A	CCNB2
1291	CDKN1A	CCND1
1293	CDKN1A	CDC25C
1294	CDKN1A	CDK2
1295	CDKN1A	CDK4
1296	CDKN1A	FZR1
1297	CDKN1A	HDAC1
1298	CDKN1A	HDAC2
1344	CIAP1	AKT1
1345	CIAP1	CASP3
1346	CIAP1	CASP7
1350	CIAP1	FADD
1352	CIAP1	NFKB1
1353	CIAP1	RIPK1
1357	CIAP1	TRAF2
1378	CIN85	AP2B1
1380	CIN85	CBL
1381	CIN85	CBLB
1382	CIN85	CDC42
1383	CIN85	DAB2
1386	CIN85	EPS15
1387	CIN85	GRB2
1388	CIN85	HGS
1390	CIN85	MAP3K4
1391	CIN85	MET
1394	CIN85	SPRY2
1395	CIN85	SRC
1397	CIR	HDAC1
1398	CIR	HDAC2
1399	CIR	HDAC6
1401	CIR	NCOR1
1403	CIR	SAP18
1405	CIR	SNW1
1406	CK2A1	APPL2
1407	CK2A1	CTNNB1
1408	CK2A1	DVL1
1409	CK2A1	DVL2
1410	CK2A1	DVL3
1411	CK2A1	FOS
1412	CK2A1	HDAC1
1413	CK2A1	HDAC2
1416	CK2A1	MYC
1417	CK2A1	PLD2
1418	CK2A1	RBBP7
1419	CK2A1	RELA
1421	CK2A2	CDC37
1422	CK2A2	CTNNB1
1423	CK2A2	DVL1
1424	CK2A2	DVL2
1425	CK2A2	DVL3
1426	CK2A2	FOS
1427	CK2A2	HDAC1
1429	CK2A2	MYC
1430	CK2A2	PIN1
1432	CK2A2	RELA
1434	CK2B	CSNK1A1
1435	CK2B	CSNK1D
1436	CK2B	CSNK1E
1437	CK2B	FAF1
1438	CK2B	GSK3B
1440	CK2B	MTIF2
1447	CLTC	EPS15
1448	CLTC	HDAC1
1449	CLTC	HDAC2
1450	CLTC	HGS
1451	CLTC	KRT18
1452	CLTC	NUP153
1453	CLTC	PAPOLA
1455	CLTC	SMAD3
1456	CLTC	WASL
1464	COPS3	COPS5
1468	COPS3	PSMD4
1469	COPS3	SMAD1
1470	COPS5	COPS3
1473	COPS5	SMAD3
1519	CRK	ABL1
1521	CRK	CSK
1523	CRK	ERBB2
1525	CRK	FYN
1526	CRK	GRB2
1528	CRK	JAK1
1532	CRK	LYN
1533	CRK	MET
1535	CRK	PTK2
1537	CRK	SRC
1538	CRK	STAT1
1539	CRK	STAT3
1543	CRKL	ABL1
1544	CRKL	APP
1549	CRKL	CAV1
1550	CRKL	CBL
1551	CRKL	CBLB
1552	CRKL	CDC42
1558	CRKL	CSK
1559	CRKL	CSNK1E
1562	CRKL	EPOR
1564	CRKL	FYN
1566	CRKL	GIT1
1569	CRKL	GRB10
1571	CRKL	GRB2
1574	CRKL	JAK1
1578	CRKL	LYN
1579	CRKL	MET
1580	CRKL	NCK2
1582	CRKL	PIK3R2
1583	CRKL	PPP2CA
1584	CRKL	PRKCA
1587	CRKL	PTK2
1589	CRKL	PTPN12
1590	CRKL	RAC1
1592	CRKL	SMAD3
1596	CRKL	SOCS5
1598	CRKL	SRC
1599	CRKL	STAT1
1600	CRKL	STAT2
1601	CRKL	STAT3
1603	CRKL	STAT5B
1606	CRKL	TRAF2
1609	CRKL	WASL
1610	CRM1	APC
1611	CRM1	CCNB1
1612	CRM1	CRK
1613	CRM1	CTNNB1
1616	CRM1	HDAC1
1617	CRM1	NFKB1
1618	CRM1	NUP153
1620	CRM1	RAN
1621	CRM1	RELA
1622	CRM1	STAT1
1623	CRM1	TP53
1648	CSK	ABL1
1652	CSK	CASP3
1653	CSK	CASP7
1655	CSK	CAV1
1656	CSK	CBL
1657	CSK	CBLB
1660	CSK	CRK
1661	CSK	CRKL
1663	CSK	CTBP1
1664	CSK	DAB2
1667	CSK	EPOR
1669	CSK	FYN
1670	CSK	FYN
1672	CSK	GRB10
1673	CSK	GRB2
1675	CSK	HD
1678	CSK	JAK1
1681	CSK	KPNA2
1683	CSK	LYN
1684	CSK	MET
1685	CSK	NCK2
1686	CSK	PIK3CD
1688	CSK	PIK3R2
1690	CSK	PLD2
